sheet,nrows_after_filter,mean_inv,max_inv,min_inv,std_inv,slope,auc,capacity,SOH
1,29,108.82813242923697,112.34652189771138,105.85812234529439,2.482591324875953,-0.21960406002645577,9325.700089383408,4.6076,100.0
2,26,109.05363930251755,112.22833689475867,105.97693056341481,2.340196266446328,-0.23647757627407373,8253.496963636795,4.5439,98.6175015192291
3,27,109.20642108707787,112.34652189771138,106.09573878153523,2.324055874335517,-0.2319278619155599,8265.681014200381,4.411,95.73313655699279
4,26,109.1949746881662,112.34652189771138,106.09573878153523,2.369304980867946,-0.2412049763921823,8048.097192515793,4.5168,98.02934282489801
5,27,109.2109010335521,112.34652189771138,106.19760821697062,2.254378982092342,-0.22735904380262895,8051.324939588528,4.4689,96.98975605521312
6,30,108.72000484434058,112.34652189771138,105.41634978164457,2.555069456199346,-0.21964108049298525,9743.602874046115,4.4071,95.64849379286396
7,25,109.23679762362,112.22833689475867,106.09573878153523,2.2621754905058014,-0.2413812556631516,7830.3735524111935,4.4493,96.56437190728363
8,26,109.19506455752914,112.34652189771138,106.19760821697062,2.2967570584338937,-0.2364534055547341,7833.385187898455,4.5099,97.87959024220854
9,27,109.21835713296763,112.34652189771138,106.09573878153523,2.309251330229513,-0.22735904380262895,8050.607005167177,4.4897,97.4411841305669
10,26,109.15798736954441,112.22833689475867,106.19760821697062,2.2571172546488474,-0.23172600543662555,7830.269811995977,4.4612,96.82264085424083
11,26,109.18926192140208,112.22833689475867,106.19760821697062,2.2548801085921273,-0.22765632607487646,7617.279572060257,4.4666,96.93983852764997
12,26,109.17621259384985,112.22833689475867,106.19760821697062,2.2705911073863176,-0.23172600543662555,7832.5230707900855,4.4637,96.8768990363747
13,25,108.98405272244764,112.22833689475867,105.85812234529439,2.4150132912732123,-0.251280361574502,8462.989229613002,4.4305,96.15635037763695
14,25,109.06420567623394,112.22833689475867,106.19760821697062,2.2651065313482497,-0.2413812556631516,7607.264752591364,4.4679,96.96805278235959
15,26,109.17621259384985,112.22833689475867,106.19760821697062,2.2705911073863176,-0.23172600543662555,7832.5230707900855,4.4785,97.19810747460718
16,27,109.24891431878478,112.34652189771138,106.19760821697062,2.2585536101496224,-0.2234458905701779,7837.574279331298,4.4562,96.7141244899731
17,26,109.19897771076158,112.34652189771138,106.19760821697062,2.2919484029975727,-0.2364534055547341,7833.588671866543,4.5308,98.33318864484765
